평점,댓글
5,"하 원장님께 이하선 종양 제거술 받았습니다. 사실은 대학병원과 땡큐이비인후과 사이에서 엄청나게 고민을 했는데, 결론적으로 땡큐에서 수술받은 게 정말 다행이라고 생각합니다. 전신마취도 무슨 숙면 취하다 깬 것 처럼 말똥말똥하게 깨서 놀랐고 수술부위 통증이 적었습니다. 저는 V자 최소절개로 해주신 거 같은데 (위치나 크기에 따라 달라진다고 합니다) 그래서 그런..."
5,"이하선종양 제거술 받았습니다. 원장님의 친절하고 차분한 설명 덕에 마음 놓고 수술받을 수 있었고, 최상급 의료진들만 수술에 참여하시기에 대학병원보다 수술시간도, 회복도 빠른 것 같아 만족합니다. 시설도 깔끔합니다. 적극 추천합니다^^"
5,"귀밑 종양 수술을 위해 수술후기를 검색하다가 이곳으로 결정했고, 정말 잘한 선택이었습니다. 종양과 함께 걱정도 말끔히 사라졌습니다. 하원장님 정말 감사드립니다."
5,"저는 수년전 귀밑에멍울이 아주 쪼그만한게 만져졌는데  사람은 멍울이 다있다고들 커지지않는한 그냥살아도된다고해서 암생각없이20년넘게 살아습니다  근데 내나이40살이넘어가니  건강관리를 그닥 신경쓰지않고 있었던게 잘못인지 여기저기 고장나기시작했습니다 귀밑멍울이 점점커지고 약간불편함을느낄정도 그래서 안되겠다싶어 대학병원으로가서 검사 CT,초음파 세침검사받았습니다..."
5,어머니가 7년전 턱밑샘 종양 관련 대학병원에서 진료를 받고 그때 좀 더 지켜 보자고 해서 까맣게 잊고 있다가 그후 약 6~7년이 지난후 TV방송을 보시면서 종양이 암으로 전이 될수도 있다 라는 방송을 보시고 두려운 마음에 종양을 만져보시니 몇년 전보다 훨씬 커진 것 같다며 다시 그 대학병원을 방문하셔서 진료를 받으시면서 혹시 위험건가요? 라고 물으시니 자기...
5,후기가 좋아서 검색 후 수술 잡았는데 친절하게 자세히 알려주시고 병실도 깨끗하고 좋은것 같아요! 감사합니다
1,진료과 구성과 진료의 질은 좋으나 원무과 직원들이 환자 응대시 주의의무를 다하지 않는다는 인상을 받음.   - 원무과 직원의 문제점 -  1. 질문을 듣고 맞는 대답을 하는게 아니라 방어적으로 자기 할말을 함.  예를 들어 이은정 교수님 외래 진료 시간이 언제까지냐는 질문에 통화하실수 있는 시간을 정해드릴 수 없다는 변명을 함. 뭔솔?? 통화 시간 정해달라...
5,"열흘전 침샘종양 수술받았습니다. 지방에서 서울가서 수술해야 한다며 여길 추천해주셨고 그후 검색을 해보니 믿음이가서 진료후 바로 수술하였습니다 원장님의 실력과, 자신감, 확실함이 좋았습니다. 그리고 대학병원은 수술한번 하려면 진료, 검사, 검사결과, 또다른검사 등등으로 방문 횟수도 너무 많고 수술도 몇개월 뒤에나 가능하고, 수술시간도 길고, 입원기간도 4박5..."
5,갑상선 치료차 방문하였습니다. 간호사 선생님들도 친절 하시고 원장님도 꼼꼼히 잘 치료 해 주셨어요
5,편도절제술 받았습니다. 원장님 간호사분들 친절하시고 시설도 깔끔하고 좋습니다. 코블레이터라는 도구로 수술받아서그런지 통증도 많이 없습니다. 편도절제술 생각하는분들 강추드립니다
5,2월1일 어머니가 이하선종양으로 수술받으시고 오늘 퇴원했는데 다들 친절하게 설명해주셔서 좋았습니다. 1인실 1호실에 불끄는 스위치는 빨리 수리하셨으면 좋겠어요 불이 안꺼져서 스카치테이프를 붙여서 사용한게 불편했습니다.
5,갑상선암 수술받았습니다. 입원실 깔끔해서 잘 지냈어요. 원장님 간호사분들 너무 친절하시고 원장님 수술실력 최고이신거같아요:)
5,하정훈원장님께 수술예약하고 오늘수술합니다. 원장님께서 친절히 설명도 잘해주시고 믿음도 가고 좋습니다.
5,침샘종양 수술후 오늘 퇴원했습니다ㆍ절개도  생각보다  작게되었고  붓기와 통증도 거의 없습니다ㆍ처음부터 진료와 검사를  땡큐에서 한게  행운이었네요ㆍ 감사합니다~
5,"1.20귀밑 침샘종양 수술했습니다. 대학병원에서 진단및 ct 하였으나 대학병원은 4박5일의 긴 입원시간과 긴수술시간, 귀앞에서 목선까지 절개가 길게 수술예상되었습니다.땡큐의 하정훈원장님을 만난건 너무나 행운인것 같습니다.설명도, 환자 응대도, 수술도 신뢰있게 말씀해주셔서 큰힘이 되었고, 수술당일 절개부위도 많이 줄었고 수술도 빠른시간에 끝났습니다.수술은 처..."
5,1월 11일에 이하선종양 수술했고 12일에 바로 퇴원했습니다. 수술실과 입원실이 같은 층에 있어 동선이 짧은 점 정말 좋았구요.  입원실 정말 깨끗하구요. 수술일 저녁식사와 퇴원일 아침식사 제공받았는데 음식 맛도 좋았습니다. 침대도 전동침대라서 수술 후 몸을 움직이기 힘든 상황에서 큰 힘이 됐습니다!
5,몸이 아프면 마음도 아프다고 하는데 하정훈원장님과 의료진 선생님들께서 수술전 자세히 설명해 주시고 수술후에도 선생님들이 더 힘들으셨을텐데도 수술받으시냐고 고생 많으셨다고 힘든 수술이였는데 긴 시간 동안 고생하셨다고 수술은 잘 되었으니까 회복 잘 하시기만 하면 된다고 따뜻하고 감사한 말씀을 해 주셔서 아팠던 병도 마음도 모두 치유되는것 같아 고맙고 감사하고 ...
5,아버지가 혹 수술하러 오셨는데 되게 빨리 간단하게 잘 해주셨고 회복중에계신데 병실도 깨끗하고 좋네요
5,12월달에 편도절제술받았어요.  수술예약도 잘되고 시설도 깨끗하고 좋아서 당일입원한 기간동안 편했어요.  의사선생님도 설명잘해주시고 간호사선생님들도 친절하구 설명잘해주셨어요. 제가 혈관이 잘 안보이는 편인데 한번에 주사 꼽아주셔서 너무 좋았습니다. 그리고 또 역이랑 가까워서 교통편도 좋았어요! 편도도 잘제거되었습니다~! 지금 깨끗하고 이쁘게 잘 제거됐어요....
5,"대구에서 성문암 진단을 받고, 땡큐서울이비인후과에서 빠르게 수술 받을 수 있었습니다.   초기이나 병변 부위가 넓고 얇게 펴져 있어 대구쪽 병원에서는 수술 치료는 어렵다하여 방사선치료를 처방하였는데,   땡큐서울이비인후과에 와서 진료 본 결과, 수술 치료 가능 소견을 주셔서 오늘 하정훈 원장님 집도로 레이저 수술하였습니다.  국내 두경부암진료 권고안이나 해..."
5,의사선생님 간호사님 모두 친절하시고 잘 봐주십니다!!
5,인천에서 건강건진 하다가 결졀이 발견되어 갑상선수술할 곳을 급하게 알아보다가 서울땡큐이비인후과를 알게 되었어요. 원래는 예약과 수술도 오래 걸린다고들 하던데 저는 바로 착착 예약에 수술 진행했어요. 하원장님 설명도 알아듣기 쉽게 잘 해주시고 자신감 넘치시는 말투에 신뢰가 쑥쑥!!!ㅎㅎ 지금 수술하고 회복중인데 너무 안심되고 좋네요. 땡큐 서울이비인후과 완전...
5,꼼꼼히 진료봐주시고 설명도 잘해주시고 친절하게 대해주셔서 너무 좋았습니다
5,지난 달에 갑상선 전절제술을 받았습니다. 치료와 관련해서 만족스러웠던 점은 ① 꼼꼼한 검사 ② 빠른 진행 및 짧은 입원기간 ③ 원장 선생님이 처음부터 끝까지 담당 ④ 간호사 선생님도 친절하심 ⑤ 원장 선생님과 간호사 선생님께 쫓기지 않고 여유있고 편하게 질문할 수 있어 궁금증 해결 가능 ⑥ 입원실 환경 쾌적 ⑦ 편리한 교통편 ⑧ 음성검사 및 음성 관리를 받...
5,편도절제술 일주일 되던 날에 출혈이 있었는데 급한 마음에 예약도 안하고 갔는데도 천원장님께서 달려와주셨어요 다른 병원 후기 보니 너무너무 아프다던데 침 삼킬 때는 많이 아팠지만 참을만했습니다 추천해요
5,꼼꼼하고 자세한 설명 좋네요!
5,의사선생님이 친절하고 자세히 설명해줘서 좋았어요 자세한 설명으로 진료시간이 길어요 믿음이 가네요
5,이하선종양수술 정말 잘 받았어요. 감사해요
5,좋았어요! 자세한 설명에 매우만족 :)
5,"혀 밑에 뭔가 나서, 지인 추천으로 가본 곳이에요. 그런데 의료진들이 모두 대단하신 것 같아요... 혹시나 해서 걱정이 너무 많았는데... 명쾌한 설명 정말 감사했습니다."
5,깔끔한 느낌을 받았고 직원분들 모두 친절하세요. 주변에서 듣고 원장님들 실력도  믿고 갔어요. 갑상선 검사 치료 받을분들 추천합니다!
5,갑상선결절 땜에 이리저리 찾아보다가 알게되서 가본 곳인뎅 대학병원 못지 않게 좋았어요ㅋㅋ 암 의심된다고 하니까 좀더 자세하게 검사해주셨어요  꽤 유명한 원장님인데 직접 자세히 봐주시고.. 검사도 직접 해주셔서 감사했구.. 비용도 보험처리되서 개이득ㅜ 감사합니다~~!
1,비싸고 성의없는 진료
3,뜻있고 실력있는 원장님이 대학병원에서 독립하여 높은 수준의 진료 서비스를 제공하는 것이 좋습니다. 원장님 진료 받으려면 예약해서 가도 좀 기다리는 경우도 있었습니다. 병원운영이 만만치는 않겠지요 하지만 개원 초기에는 그렇지 않았는데 갈수록 좀 상업적이 되는것 같아 안타깝습니다.
1,코로나때문에 진료하기싫은 티 너무 낸다... 이비인후과가 자기네들은 비염이나 코 위주 진료 안한다고 다른병원가라하고...이게 맞는 행동인지 병원들이..
2,"후기가 좋아서 방문해봤는데요, 예약없이 방문했더니, 일반 감기 진료는 안한다고 합니다.(중병위주 진료) 가시기 전에 전화로 문의하고 방문하기를 추천드립니다."
5,"1년전에 침샘결석 수술받앗는데 수술후 너무 붓고 아파서 전화드렸더니 공휴일인데 병원으로 나오라하심, 택시타고 갓더니 사복입고 혼자 오셔서 병원 문열고 진찰해주고 주사놔주셨음 그때 알았음 이분은 진짜 의사이심.."
4,예약제네요 예약하고 오시면 오래 안기다리시고 좋아요 :) 
1,이비인후과이지안 목관련 진료만 함 코 귀 는 안한답니다
5,선생님 정말 친절하세요^^
5,"와 ~~~~ 너무 친절하세요! 남의사쌤, 여의사쌤 모두  친절하고 자세하게 설명해주셔서  기분 좋게 검사 받고 왔습니다 ㅎㅎ "
5,항원검사하고왔는데 사람많은데도 친절하시고 의사쌤한테 질문 여러가지했는데 친절하게 대답해주셨어요
5,최고에요 
5,친절하고 세심하십니다 약도 잘쓰시는 것 같아요 바로 나았어요
5,"병원후기는 처음 남겨보네요  의사선생님 정말 친절 하십니다 제 앞에 아저씨가 딱봐도 진상이었는데 인상 안쓰고 잘 챙겨주시는건 물론이구요   코로나 검사까지 해서 제 앞에 18명, 뒤로 30명 가까이 있을 정도로 사람이 엄청 몰렸었는데  빠르지만 불편하지 않게 진료 잘 봐주시더라구요  검사하면서 이것저것 말씀 햐주시는 것도 꽤 유익했는데 무슨 얘긴지 잘 기억..."
5,백신 접종으로 방문했는데 빠르고 남자 의사분도 굉장히 친절합니다
5,남자의사분이 세상 친절 정확함ㅜ 굿 
5,친절하심 추천할만합니다
1,기록용 가지말것
5,코로나 시국에 꼼꼼하게 진료 잘 해주심
5,병원은 리뷰 안하는데 진료 엄청 빠르고 정확하게 해주셔서 놀랐음. 젊고 친절하심
4,서비스정도는 그냥 평범합니다. 좀 비싼편이네여 목 내경으로 잠깐 보고 코랑 목 소독 1초 하고 만원 조금 넘게 나왓어용
5,"평소 진료도 바쁜 이비인후과의원인데.. 코로나19 예방접종업무까지 담당하여 더욱 노고가 크시겠습니다. 친절하고 명쾌하게 설명해주시는 원장님과 밝은 분위기로 원활하게 응대하는 데스크 직원분들, 감사드립니다."
5,명의에요 회사근처라 자주가는데 정말 친절하세요 직장동료들한테도 추천하는중
1,피검사하려고 주사 놓는 간호사 네일아트보고 스톤 크게 박혀있는거 보고 환자입장에서 진짜 아니다 싶음.   특히 스톤같은거 먼지 잘붙고 엄청 관리 잘해야 손톱 청결이며 유지되는데 계속 더 신경써서 손 잘 씻고한다해도 그런거 신경쓸 시간과 에너지를 업무 수행에 좀 더 투자하면 어떨까 싶음. 장소와 맞지 않는 꾸밈은 전혀 안이뻐보이고 신뢰가 안간다.   심지어 ...
4,남자 원장님만 보면 별 다섯개인데 여자원장님 땜에 별 하나 뺏어요 남자 원장님 진짜 친절하신데 휴무여서 어쩔수없이 여자원장님께 진료받았는데 ㅋ 1분도 안걸리는 진료 ㅋ 그저 약처방 대충대충 하는게 진심으로 느껴져요 ㅋㅋ 나는 점심시간에  밥도 포기하고 내시간  쪼개서 오는 건데 ㅡㅡ.. 앞으론 남자 원장님한테만 받는걸로
5,다른 병원에서 오래 약 처방받아 먹어도 안 나았는데 여기 오고 일주일만에 나았음 좀 많이 걸어도 회사 앞 병원 말고 여기가 낫겠음
1,간호사도 불친절하고 진찰도 대충보고 다신 오고싶지 않네요 거기다가 호흡하는것도 사람없다고 패스하고 청결하지도 않고 정말 별로입니다
5,원장님 너무너무 친절하세요♥️♥️ 앞으로 여기만 다녀야겠어요.. 진짜 최고 
1,돌발성 난청 진료 중인데..  청력검사하러 들어갔다가  제가 헤드폰을 좌우를 잘못써서 검사를 다시 해야하게 됐나봐요 그런데 간호사분이 “제말못들으셨어요??” 하고 추궁을 하더라구요 신경질적으로..  난청환자한테 할 소린지..  상처만 더 받고가네요..  치료하러 왔다가 ..  
5,"편도염 때문에 방문했는데, 의사 선생님도 너무 친절하시구 병원 시설도 깔끔하니 좋네여. 평점 5점이라 믿고 가봤는데 너무 만족스러웠습니다. 인생병원이에요."
5,원장님 긍정긍정 열매 드신거 같아요. 설명도 잘해주시고 주사랑 약 선택하셔도 된다고 할때 좋았어요.
5,다들 왜 별 다섯개 줬는지 알겠고요. 진짜 친절하시고 자세히 봐주세요 짱
5,친절하십니다 다른병원가면 대충대충 진료하시는데 여기는 잘 알려주시고 관리법도 상세히 설명해주시네요
5,"비염때문에 집,회사,지나다가 이비인후과 많이 가봤는데, 그 중에 진짜 최고입니다! 증상완화야 약,개인 컨디션에 따라 다른데 항상 지난 진료시 불편감이 개선되었는지 확인하고 새로운 증상은 어떤지, 질문에 대한 대답도 잘해주심 진료시간이 엄청 길진 않아도 진심 진료받는 기분이 듭니다."
5,여긴최고에요. 코염증으로 검색하다가 강남연세에서 부비동염 수술을 받았는데 수술할때도 원장님은 환자힘든지만 계속 신경써주시고 하고나서도 계속 진심으로 관리해주세요. 비염인 가족도 같이와서 검사받았어요. 다른 진료병원이 다 강남연세 선생님 같았으면 좋겠어요.
5,후비루때매 힘들었는데 진작올걸그랬어요 진료시 놀라지않게 검사방식도 미리알려주셔요 너무 친절하시고 진료도 정확하게 꼼꼼히봐주시네요 
5,친절하시고 좋아요 :)
5,"의사 선생님, 정말 친절하시네요! 하루 종일 수많은 코로나 신속항원검사에 지치실 법도 한데, 밝은 모습으로, 아프지 않게 잘 검사해주시고, 아이들이 가장 안됐다며, 의사를 떠나, 어른으로서도 멋진 모습 보여주시네요. 지치지 마시길!"
1,"원장 처음부터 무례하고 진료도 잘못봄 진료끝나고 편도염이래서. 마지막에 내가 분명히 그때 편도농양 아니고 편도염 맞냐고 했는데,1초만에 편도염 맞다고 딱잘라 말하고. 제가 작년에 다른 병원 갔을때 편도염이라 했는데 안나아서 다른곳 갔더니 편도농양이여서 주사로 뽑았다고 얘기하니까.  아니라고. 편도농양이면 입도 못벌린다고(못벌리는 수준으로 아팠는데 째야되니까..."
5,"너무 친절,, 젠틀 ,, 꼼꼼히 봐주셔서 감사합니다! "
5,진짜 원장님 간호사님 대박친절하세요..  회사건물이라 앞으로 자주 이용하겠습니다 ㅎㅎ
5,와.. 원장님만 핵친절! 진짜시원시원하게 진료잘봐주세요 
5,병원후기는 웬만하면 안남기는데 의사선생님 정말 친절하심
5,후기보고 갔는데 원장님 정말 친절하세요!!ㅠㅠ 먼 곳까지 온 보람이 있어요 싹 다 나았습니다 최고ㅠㅠ!!!!
5,이 근방에 n년째 살고 있는데 여기 이비인후과 원장님처럼 친절하신분 못봤습니당 최고♥︎
5,원장님 설명도 막힘없이 똑부러지시고 친절하시고 증상 사진 기록해놓으신거 다 보여주시면서 설명해주시니까 낫는게 눈에 보여서 안심되고 좋았어요 회사근처에 이런 이비인후과가 있어서 다행이에요ㅠㅠ 리뷰가 많은데도 별점이 높은 이유가 있었네요 감사합니다
5,친절하게 잘 봐주십니다. 시설도 깨끗하고 좋아요.
5,너무친절하십니다~
5,평점보고 가봤는데 인정합니다.
5,명쾌하고 믿음이 가네요.
5,의사선생님 필요한 진료만 하시고 친절하게 알려주십니다 우연히 간 곳이라 멀지만 이비인후과는 일부러 여기로 오고 싶은 마음입니다:) 
5,혼자만 알고싶네요.. 좋습니다 여기만 갈것같아요
5,진료도 잘하시고 친절하시고 대학병원 뺨칩니다
5,"알레르기성 비염으로 6년 전에 아주대병원에서 김유석 의사선생님께 진료를 받았었는데요,  그 이후로 엄청 심했던 비염이 거의 생각나지 않을 정도로 일상생활에 불편함 없이 수험생활을 잘 할 수 있었거든요ㅠㅠ  그래서 너무 감사한 마음에 의사쌤 성함을 계속 기억하고 있었어요!  그러다 이번에 선생님께서 어디에서 진료하고 계신지 찾아서 왔는데 여전히 너무 너무 좋..."
5,"비염으로 다니던 이비인후과였는데, 선생님에 대한 신뢰로 비중격 수술도 여기서 하게 됐어요! 진짜 꼼꼼히 잘 해주셨고 수술 후에도 계속 체크해주셔서 여기서 하길 잘했다 생각했어요ㅠㅠ 환자의 시선에서 진료 해주시는 선생님이에요! 추천!"
5,정말 친절하시고 이 동네에서 몇없이 제대로 진료봐주는 이비인후과
5,엄청 친절하시고 설명도 잘해줘서 좋아요
5,선생님이 친절하셨어요
5,의사선생님께서 친절하시고 귀 봐주실 때 다른 곳과는 달리 천천히 봐주셔서 놀라지 않았어요!! 그리고 환자 이야기를 천천히 들어주셔서 감동받았습니다ㅜㅜ
5,"의사선생님 설명도 차근차근 잘해주시고, 불편한 증상 물어볼 때마다 친절하게 대답해주셔서 항상 여기만 가요. 지도앱 평가보고 처음 갔다가 이제 이비인후과 질환은 무조건 여기임"
5,"I thought this ENT might be fake from having all 5 star reviews. However, Dr. Kim is truly a great doctor. He explained everything well and in detail. He also showed me what was abnormal on the screen..."
5,선생님께서 환자의 말에 기울이는 모습이 보입니다. 친절하시고 섬세해요! 만족스러워요~
5,의사선생님이 섬세해요 
5,의사선생님께서 친절하시고 귀 봐주실 때 다른 곳과는 달리 천천히 봐주셔서 놀라지 않았어요!! 그리고 환자 이야기를 천천히 들어주셔서 감동받았습니다ㅜㅜ
5,"의사선생님 설명도 차근차근 잘해주시고, 불편한 증상 물어볼 때마다 친절하게 대답해주셔서 항상 여기만 가요. 지도앱 평가보고 처음 갔다가 이제 이비인후과 질환은 무조건 여기임"
5,"I thought this ENT might be fake from having all 5 star reviews. However, Dr. Kim is truly a great doctor. He explained everything well and in detail. He also showed me what was abnormal on the screen..."
5,선생님께서 환자의 말에 기울이는 모습이 보입니다. 친절하시고 섬세해요! 만족스러워요~
5,의사선생님이 섬세해요 
5,의사선생님께서 친절하시고 귀 봐주실 때 다른 곳과는 달리 천천히 봐주셔서 놀라지 않았어요!! 그리고 환자 이야기를 천천히 들어주셔서 감동받았습니다ㅜㅜ
5,"의사선생님 설명도 차근차근 잘해주시고, 불편한 증상 물어볼 때마다 친절하게 대답해주셔서 항상 여기만 가요. 지도앱 평가보고 처음 갔다가 이제 이비인후과 질환은 무조건 여기임"
5,"I thought this ENT might be fake from having all 5 star reviews. However, Dr. Kim is truly a great doctor. He explained everything well and in detail. He also showed me what was abnormal on the screen..."
5,선생님께서 환자의 말에 기울이는 모습이 보입니다. 친절하시고 섬세해요! 만족스러워요~
5,의사선생님이 섬세해요 
5,근처에 잠깐 볼일있어서 왔는데  선생님 정말 친절하세요 :)
5,응급실에서 약 받은것도 소용이없었는데 보고 정확히 진단해주시고 치료해주시고 처방해주신 약도 효과가 확실히 오네요.. 앞으로 여기만 ㅠ
5,회사 근처고 퇴근시간 이후에도 해서 갔던 곳인데 회사 그만두고도 여기로 갈듯ㅋㅋ 의사선생님 친절하시고 잘 봐주셔서 계속 가게됨 굿굿bb
5,선생님 정말 동네 아저씨처럼 친절하십니다! 진료 잘 받고 가요^^
5,후기 보고 가길 잘 한거 같아요. 의사 선생님 정말 친절하시고 정확한 진단 해주시는거 같아요
4,신속항원검사 금방 했음여
4,굿
1,와 별점 일도 아까워요;;; 과잉진료 대박이고 40대 정도 된 의사 왜캐 불친절해욬ㅋㅋㅋㅋㅋ??? 데스크 간호사도 무슨 물고기 같이 생겼으면서 엄청 불친절하고;;;;; 와 40대 의사가 저희 엄마 60대신데 이해 안가서 아주 정중하게 '선생님 ~~한건가요?' 물어봤더니 째려보면서 설명하고 있잖아요 지금 이♩♬♬.... 와 예의는 밥 말아먹었고 싸가지고 없고...
1,대기시간 불필요하게 너무 길고 과잉진료 대박임 돈에 눈 먼 병원 (+주차비 30분에 3000원. 대기만 30분함 40분 세우면 6000원 ^^)
5,편도가 자주부어 고민만하다  2주 휴가내고 편도고주파수술을 받았어요. 2주지났는데 깔끔하게 다 나아서 너무 만족합니다.  원장님 진짜 너무 친절하시고 설명도 쉽게 잘해주십니다. ^^ 
5,"선생님이 친절하게 진료해 주셔서 좋았어요~!  여기 원장님들 다 친절한 것 같아요  증상도 꼼꼼히 봐주시고, 설명도 자세히 해주셨고요 궁금한 것 물어봐도 차근차근 설명해 줘서 참 좋았어요  시설도 좋고 넓고 깨끗해요 이 점도 마음에 들었구요 그리고 늦게까지 진료해서 퇴근하고 갈 수 있어서 좋았네요"
1,의사 간호사 둘 다 불친절하고 무엇보다 과잉진료 너무 심하네요. 외이도염인데 엑스레이검사에 무슨 청력검사까지 시켜서 다른 병원보다 진료비가 4~5배 나왔어요ㅋㅋ 그리고 엑스레이나 청력검사 하기 전에 검사 필요할 거 같다고 설명하는 게 기본이 아닌지요.. 설명 하나 없이 따라오라고 하고 바로 검사 진행해버리네요.. 아무튼 정말 다시는 가고 싶지 않아요. 제가...
1,"후기들 보니까 몇년전부터 간호사,의사 등등 데스크 직원까지 불친절하다고 나와있는데 이러면 고쳐야하는 거 아닌가요? 들어가자마자 말투 싸가지없어서 놀랐네요; 이런 병원 처음이에요 후기가 낮은 건 다 이유가 있네요 ^^"
1,출국을 위해 코로나 신속항원(antigen)검사가 된다고 해서 갔더니 의사는 신속항원검사란건 없고 항체(antibody)검사란 것만 존재한다고 우김. 항원 검사는 PCR만 가능하다고.. 요즘 한국에서 미국 출국하는 사람 다 신속항원검사 받고 30분안에 결과랑 검사지 받고 출국해요... 본인이 모른다고 없다고 하지 맙시다. 
5,여기는 예약하려고하면 접수순으로 들어가는거라고 그냥 오시라고 하더니  늦게온사람이 차시간있어서 몇분내로 나가야한다니까 나보다 먼저 봐주시더라구요?! 귓속말하는거 다 들림ㅋ그래 그럴 수 있지..음..그래도 원장님이 친절하셔서 별다섯개 ㅎㅎㅎ
3,의사선생님은 친절하신데 데스크에 계신 여자 직원분이 정말 불친절하셨습니다. 무슨말을 해도 틱틱 거리면서 응대해주셨으며 진료비가 생각보다 많이 나왔습니다.
1,서류 받으러갔다가 잘 몰라서 버벅거리는데 엄청 떽떽거리고 하나 받으러가는데 지금 한시간 반 넘게걸렸네요 계속 다음 차례라면서 딴사람들 불르시고;;;  코로나때문에 사람도 별 없는데 이렇게 늦으면 누가가나요 
1,아..진짜 간호사들 왜이렇게 싸가지 없는지 모르겠네 무슨 ㅈㄴ높은 벼슬에 쳐앉아 있는것도 아니면서 불친절하고 내돈 내고 진료받으러가는데 더 아파져서 집에 온것같다 열받네 확 엎으려다 참았네 아오
1,이런평가 잘 안하는데 별하나도 아까움. 간호사 불친절 선생님 친절  코로나에 환자도 별로없는데 대기시간 오래걸리고(20분이상) 간단한 처치만 해줄뿐인데 엑스레이도 찍으라함. 엑스레이찍고 부연설명없이 계속 대기시킴(20분이상) 주차비지원해주는것도 아닌데 치료는5분도 안걸리면서 대기시간만 50분 . 참고로 주차비 30분에3000원 1시간에 6000원 . 차가지...
4,진단이 빨랐음 사람이 많아서 대기는 길었지만..
5,저눈 감기 걸리면 연세코앤만 가여 ㅋㅋ 
1,의사 간호사 반말에 불친절 돈에 눈먼 병원 링겔을 대기실 의자에 앉혀서 맞힘 아무리 급해도 절대 다신 안 갈 병원
5,상담도 잘해주시고 병의 원인및 병이 어떻게 진행되는지 자세히 상담해주심니다..! 돌발성난청 초진해주셨는데 오늘또 진료받으러가요
1,불친절하고 굉장히 싸가지가 없음
1,의사 간호사가 싸가지 없음 반말을 하질않나 진료하면서 코에 뭐 뿌려서 살짝 기침했는데 싫은내색하면서 마스크끼고하는게 예의아니냐고  이딴소리하면서 환자를 병균취급함
5,되게 친절하시고 실력 좋으심.. 꼼꼼하게 잘해주심
5,친절해요~! 문제가 생긴 이유도 잘 말해주고 진료도 정확합니다.
1,의사 반말해요;;
5,진료 친절하게 잘 해주시고 시설도 깨끗하고 좋았습니다.
5,되게 친절하시고 실력 좋으심.. 꼼꼼하게 잘해주심
5,친절해요~! 문제가 생긴 이유도 잘 말해주고 진료도 정확합니다.
1,의사 반말해요;;
5,진료 친절하게 잘 해주시고 시설도 깨끗하고 좋았습니다.
5,되게 친절하시고 실력 좋으심.. 꼼꼼하게 잘해주심
5,친절해요~! 문제가 생긴 이유도 잘 말해주고 진료도 정확합니다.
1,의사 반말해요;;
5,진료 친절하게 잘 해주시고 시설도 깨끗하고 좋았습니다.
5,되게 친절하시고 실력 좋으심.. 꼼꼼하게 잘해주심
5,친절해요~! 문제가 생긴 이유도 잘 말해주고 진료도 정확합니다.
1,의사 반말해요;;
5,진료 친절하게 잘 해주시고 시설도 깨끗하고 좋았습니다.
5,정원장님 너무 꼼꼼하게 진료봐주셔서 감사합니다! 근방에서 젤 성의있게 진료해주시는것 같아요!
5,금방 치료 잘 됐어요~~
5,설명 조목조목 잘해주시고 넘 친절하세요! 근처 이비인후과 중에 최고인거 같아요ㅎㅎ
5,너무 시설도 좋구 선생님이 진료 잘봐주십니다  원장님 짱짱!!
5,선생님이 너무 친절하세요!! 잘생기시구..ㅎㅎ
5,회사 근처 병원 중 최고네요~ 접근성 좋고 의사 선생님이 엄청 친절하신데다 조목조목 잘 설명해 주셔서 불안했던 맘이 편해졌어요! 
5,큰 기대 없이 근처에 있어서 갔는데 원장님이 젊으신대도 친절하게 설명 잘해주시네요~
5,너무 친절하고 좋아용 두 번째 방문인데 너무 좋았습니다
5,진료도 꼼꼼하고 친절하게 상담해주셔서 좋았어요!!! 병원은 되도록이면 안가면 좋겠지만 다음에 또 불편해진다면 재방문의사100%입니다^^
5,원장님께서 진료 잘 봐주세요 덕분에 잘 나았어요~
5,원장님 덕분에 진료를 너무 잘받았네요 ~ 앞으로 또 오고싶어요 자세하게 설명을 너무 세세하게 해주셔서 너무 좋았습니다 
5,"정원장님 설명도 잘해주시고, 처방해주신 수액도 잘맞았습니다. 프라이빗한 공간에서 수액맞으면서 꿀잠잤네요."
5,새로오신 젊은 원장님께 진료받았는데 정말 친절하시고 꼼꼼히 봐주시네요:) 감사합니다~!! 
5,리뷰 잘 남기는 편 아닌데 진료 받고 정말 좋아져서 남깁니다. 정장원 원장님 친절한건 말할 것도 없고 정말 세심하게 잘 봐주셨어요. 감사합니다
5,병원도 깔끔하구~~ 선생님도 친절해서 좋았어요~ ^-^
5,친절하게 진료해주십니다
5,일년에 절반 이상을 인후통과 감기를 달고 사는데 정장원 선생님 너무 친절하게 진료해주시고 상담 잘 해주시네여!! 좋아여~!!
5,근처 병원보다 진료대기시간이 짧아서 좋았습니다. 원장님 친절하게 잘해주시네요.
5,수액맞았는데 친절하시고 효과 짱 좋네요 !!ㅋㅋㅋ      
5,원래 못보던 젊은 선생님이 새로오심. 비염이 심해져서 약받으러 갔는데 귀랑 목 상태까지 봐주고 친절하게 설명 잘 해주심. 
5,정장원선생님 정말 치료잘해주세요 저비염이랑 요즘꽃가루때문에 진짜힘들었는데  주신약이랑 치료몇번 받으니 진짜 살만해요  너무추천합니다
5,목이 너무 아파서 힘들었는데 친절하고 성의있게 진료봐주셔서 감사했습니다
5,친절해요
