,댓글
242,첫째아이에 이어 둘때아이 첫 영검도 이곳에서 했어요 아이 진료검진실이 따로 있어서 아이도 좋아하고 분위기도 편안해서 아이도 너무 즐겁게 첫 치과경험을 잘 마쳤답니다^^
243,스케일링 하기 위해 방문했는데 마취가글덕분인건지섬세한 손길덕분인지 정말 스케일링이 이렇게나 편안하게 할수 있었던것인가 신기합니다.안아픈 치과!바로 이곳 맞네요~.가족 모두 여기로 정착할렵니다.다음번 진료도 부탁드립니다~
244,교정상담 받고왔는데 친절하고 자세하게 설명해주셨어요. 애들대기장소도 있고 좋았습니다
245,친절하세요~모든분들이~굿굿
246,만족합니다^^
247,"스케일링 사랑니발치 같이했어요.
스케일링도 엄청 꼼꼼하게 해주시고 
특히 김준엽원장님 사랑니 발치 끝난줄도 몰랐어요. 진료 봐주신 두분 감사합니다~"
248,다 친절하시고 급하게 예약해서 간건데도 응급으로 신경치료 해주셨어요 마취가 잘 안먹어서 빵빵하게 했네용
249,굿굿~
250,좋아요
251,인레이 3개 했는데 마취주사도 안 아프게 놓아주시고 편하게 치료 받았습니다 🙃
252,"의사선생님, 실장님, 치위생사님 모두 친절하시고 구체적으로 설명도 잘 해주셔서 좋습니다 ☺️ 스케일링도 시린곳 없이 편하게 받았습니다 :)"
253,아이가 편안하게 치료를 잘받았어요~ 의사선생님께서도 자세히 설명해주셔서 너무 좋았습니다~감사합니다 
254,들어가자마자 내부도 매우  깔끔하고 상담해주신 실장님도 매우 친절하셨습니다!!
255,아주 좋아요.
256,위생사 선생님도 친절하시고 원장님의 꼼꼼한 진료도 참 좋아요:-)
257,"처음 방문한건데 차분하고 깔끔한 분위기가 좋았어요~! 교정문의로 방문한건데 꼼꼼하게 상담해주시고 충치도 같이 봐주셨습니다~!  육안으로 보기 힘
든 충치들도 사진찍어서 볼 수 있는? 기계가 잇는것도 신기햇어요 교정은 그냥 보류하기로 했는데 충치 치료할때 여기로 방문할거에요! 금니만큼? 금
니보다? 튼튼한 치아색과 같은 크라운을 어금니에 할 수 있다는 것도 신기했어요 미리 알았다면 작년에 여기로 왔을텐데 말이에요 ㅠㅠ 흑  교정..."
258,.
259,꼼꼼히 봐주셔서 감사드려요~ 
260,"근처 다른 치과에서 검진받았을때 찾아내지 못했던 부분 잘 잡아내주셔서 치료중입니다. 여기 아니었으면 모르고 방치했다가 시간과 돈을 낭비할뻔 했
어요ㅠㅠ 원장님(김준엽)과 실장님(김경란), 치과위생사분들모두 친절하고 자세하게 설명해주시고,  병원의 영업적인 부분보다 고객의 치아를 더 생각
해주셔서 정말 감사드리고 마음에 들어요. 치료해야할 치아가 아직 남았는데  앞으로도 잘 부탁드립니다~ ^^"
261,굿
262,굿
263,의사선생님 간호사님 모두들 엄 청 친절하세요 어머니께서 몸이 많이 불편하셔서 시간도 오래걸리고 힘들었는데 짜증한번안내시구 다들 친절하게 해주셔서 감사드려요~~~^^
264,"10년전 타병원 교정 끝나고 유지장치 탈락하여 붙이러 갔었어요~ 교정원장님을 비롯하여 치과위생사 선생님들 모두 친절하셔서 기분좋게 진료 받고 
왔습니다~ 데스크 선생님들도 넘 친절하셨어요~ 나중에 애기들 교정해야하면 여기서 할거예요~~ 번창하세요 ㅎㅎ"
265,"모두 너무 친절하셔서 부담스러울 정도였습니다 치과공포증이 심해 쇼크까지 오는 저라서 인터넷 검색  진짜 마니 하고 갔는데 왠지 모를 믿음!!!
임플란트 결정했습니다"
266,"여러 치과를  다녀봤지만 맨처음에는 비싼것 같았지만 책임제 원장(김준엽)님이시고, 재료도 직접 서울에서 가져오시는 부분이랑 시술후에 데스크까지
나오셔서 인사하는 서비스부분, 치료후 1주일뒤에 애프터 서비스까지 해주시는게 다른 치과랑 확실히 달랐습니다. 영업적인것보다 고객의 치아를 생
각해 주시는 것 같았고 직원들분들도 친절히 대해주셨습니다. "
267,"모든 직원분들이 마주칠때마다 인사해주시고 너무 친절대응해주시고, 시설도 너무 깨끗하고 좋았어요~~"
268,친절하고 서비스 만족
269,"김홍주선생님 진짜 짱 친절하세요ㅜ 재신경치료라서 엄청 긴장했는데 진짜 친절하시고 안아프게 해주셨어요!! 간호사님들도 넘나 친절하시고 감사합
니다ㅠㅜ"
270,진짜 친절하시고 스케일링 해주신분 정말 감사합니다ㅋㅋㅋ 저절로 계속 감사합니다 감사합니다 하고 나왔어요.. 의사쌤도 엄청 친절하시고 다음에 사랑니발치 여기서 하려구요!
271,친절하구 좋아요!
272,"진짜 여기 치과 너무 좋아요!! 다른 치과랑 비교하다 후기가 좋아서 왔는데 깔끔하고 다들 너무 너무 친절하시고  상담해주신 간호사선생님.의사선생님 
목소리도 너무 좋으시고 상담도 너무 잘해주시고 치료해주신 의사선생님도 너무 친절하세요 감사합니다."
273,스케일링 좋아요 친절해요
274,"스케일링이랑 충치치료 하려고 여러 병원 비교하다가 깔끔하고 원장님들도 친절하신것 같아서 선택했습니당!!
가보니 너무 깔끔하고 직원분들도 친절하시고 하나하나 설명하시면서 치료해주셔서 너무 잘 받고왔습니다~~"
275,"만족합니다 충치 검진 받고 치료도 하고왔어요
필요한 치료만 딱딱 해서 좋아요"
276,"대전에 이사와서 가끔 사랑니 통증 때문에 고민하다 클라리티 치과를 알게되어 방문하게 되었습니다. 방문결과  1. 모든 직원 분들 너무 친절합니다. 2. 
스케일링 하는데 부연 설명도 잘해주시고, 안프게 해주세요 ㅎ 특히 미소쌤 고마웠어요 ㅎ 3. 원장님 덕분에 제 치아 상태가 어떤지  잘 알게 되었고, 눈
높이 상담 감사합니다. 제가 겁이 많아 징징 거렸는데 원장님께서 친절하게 알려주셨어요! 원장님 너무 징징거려서 죄송해요; ㅎ  결론은 제가 치..."
277,"치아를 치료받기 전 몇 군 데 치과를 방문했었어요! 클라리티 치과를 제일 마지막에 방문했는데 어릴 때부터 치과 치료를 잘못 받았구나..하고 알게 됬
어요ㅠㅠ 너무나 친절하신 직원 선생님들과 김준엽 원장님! 감사드려요 ㅎㅎ 신경치료 너무 무서웠는데 마취도 정말 하나도 안 아프고 치료도 안 아프
고 치료 후도 안아파서 오늘 두 번째 신경치료도 겁먹지 않고 받을 수 있었습니다!! 클라리티치과 너무 좋아요ㅎㅎ 정말 감사합니다~~^^"
278,진짜 진료보시는 분들부터 접수해주시는 분들까지 전부 다 친절해요!!
279,친절하고 시설도 깔끔하고 좋아요^^
280,크라운 치료 받으러 다니다가 이제 거의 마지막 단계인데요! 바쁘신 와중에도 항상 친절하게 설명해 주시고 마취도 안아프게 잘해주셔서 30대 되도 무서운 신경치료 무사히 잘 받았어요! 감사하게 잘 치료받고 갑니다! ^^
281,아이가 치과 처음으로 가는거라 부모인 저도 괜히 떨렸는데 친절하셔서 다행이었어요~ 앞으로도 잘 부탁드립니다~~^^
282,친절합니다
283,친절 .... 꼼똠한 치료... 이 두가지면 다 아닌가요 ? 벌써 일년넘게 다니고 있지만 항상 만족합니다 !!
284,아이가 치과치료를 너무 무서워하는데 의사선생님과 간호사선생님들이 계속 설명해주시면서 치료해주셔서 오늘 처음으로 안울고 진료받았어요~ 너무 좋아요~
285,"의사선생님 직원분들 정말 모두 친절하시네요..!
치과를 많이 무서워해서 엄청 걱정햇는데 사랑니 4개 모두 잘 발치해주셨고  그외 문제있던 치아도 말씀해주셔서 치료잘받았습니다."
286,"사랑니 뽑으려고 방문했는데 , 저 치아 문제도 잘 찾아서 알려주시고 원장님도 다 엄청 친절하시구, 간호사 선생님들도 엄청 잘 챙겨주셔서 무서웠는데 잘 뽑았습니다 ! 감사합니다 앞으로 치과는 무조건 여기루 가겠습니다 !!!!!!"
287,"원장선생님이 설명도 친절하게 잘해주시고 좋아요, 치위생사님 또한 너무 친절해요^^"
288,세심하고 꼼꼼하며 모든 직원분들이 친절해요
289,친절하고 깔끔해요. 영유아 구강검진 받으러 갔는데 아이한테 재미있게 해주셔서 무사히 잘 마쳤어요.
290,친절!!
291,"대기시간에 대해 미리양해나 안내받지못해 아쉬웠어요  상담시 판매하는듯한 느낌이였던것 같아요  리뷰보고 믿음이가서 방문했는데  기다린 시간이 
아까웠네요... 하지만 직원분들 모두 친절 하셔서 좋았습니다"
292,친절하고 좋았습니다 대기는 좀 있어요 손님이 많아서
293,치과치료에 늘 아프고 힘들다는 경험에 병원가는걸 주저주저 했는데 클라리티치과 정말 아픈줄 모르고 스켈링과 신경치료 했네요. 다들 너무 친절하시고 설명도 상세힙니다. 혹시 저 처럼 치과치료에 좋지 안은 경험이 있으신분 적극 추천드려요. 
294,의사선생님은 물론이고 치위생사분들 정말 친절하게 잘 대해주셨어요!! 스케일링 받으러갔는데 꼼꼼하게 점검해주시고요 유성에 이렇게 깔끔하고 좋은 치과가 있는 줄 이제 알았네요 앞으로도 치과 갈 일 있으면 계속 이용할 것같아요
295,굿
296,굿
297,아프지 않게 치료해 주시고 친절하세요.
298,친절하시고 좋았어요~
299,"스케일링 다녀왔는데요  스케일링 이외에 다른 것 원하지 않는다고 하니 스케일링 하는 동안에 충치가 있는 것만 알려주시고 나중에 치료 받으시라고 
해주셔서 과잉진료 없이 깔끔하게 받을 수 있어서 좋았어요 깔끔한 느낌이고 인원도 많아서 빨리빨리 진행되더라구요  주차장도 넓고 좋네요"
300,처음갔는데 설명도 잘해주시고 진료도 잘봐주셔서 엄청 만족스러웟어요!!👍
301,"인터넷으로 알아보고 예약한 곳이었습니다
별기대는 안하고 네비임플란트 한다는 내용에 찾아갔었는데 입구부터 근사하였고 특히나 원장선생님 및 직원분들 전체 매우 친절하였습니다. 아주 만족하고 추천합니다"
302,시설도 깨끗하고 스케일링 하는데 친절하게 하는 중간중간 설명도 잘 해주셔서 치료 잘 받고 올 수 있었습니다. 감사합니다ㅎㅎㅎ
303,매우 친절 하세요!
304,대표 원장님과 직원분들 정말 친절했습니다. 치아 하나하나 사진으로 정밀검사하고 현 상태와 치료 계획 설명까지 잘해주셨습니다. 치료 이후에도 아프지 않고 사용 잘 하고 있습니다. 집근처에서 만족도 높은 치과인듯 합니다. 
305,주차도 편하고 처음 간거라서 전체 충치상태 검진받았능데 친절하게 상담해주셨어요
306,"선생님이 친절하고 좋아요
이상있는부분을 사진으로 찍어서 잘 설명해주세요"
307,항상 넘 친절하고 진료잘봐주세요
308,"분위기, 의료진, 시설 모두 좋았습니다
따뜻한 분위기가 너무 좋았습니다 🤍"
309,친절하게 응대해주시고 치료 받으며 불편한 부분 미리 말씀해주셔서 좋았습니다
310,깔끔한 인테리어와 함께 편안하게 진료해주셔서 치료 잘 받고 갑니다~
311,친절하게해줍니다.
312,친절하고 깔끔해요^^
313,"첫번째방문입니다 네이버예약시 적혀있는 문구가 너무와닿아서 선택한치과인데 역시 의사선생님이 제가지금껏 가보았던 병원중에 가장 친절하시고 
섬세하셨네요  다만 스케일링하였는데 아프거나한건 전혀없었고 아직 미숙하신 치위생사분께서 해주셔서 그런지 물이 얼굴타고 조금많이흘러내려서 
아쉬웠습니다 ㅠㅠ (대기시간있으니 예약꼭하세요 이건 의사선생님만나면 바로이해됩니다 잘하고 친절하시니 많을수밖에 ㅠㅠ)"
314,친절하고 자세한 설명과 함께 앞으로의 치료 계획까지 잘 관리해주셔서 안심이 됩니다. 치료중에도 하나하나 설명해주시고 미리 알려주셔서 마음의 준비(!)를 잘 하도록 해주시네요. 앞으로의 치료에도 믿음이 갑니다.
315,별 다섯개도 부족할만큼 너무 만족스러운 치과였습니다. 가기전에 무서웠는데 전혀 아프지않게 잘 치료해주셨습니다. 병원에 계신분들 모두 너무 친절하시고 다 좋았습니다
316,"병원 다른곳 갔다가 평이 좋아서 갔는대요
김준엽 원장님한테 진료 받았는데 과잉진료도 없고 간호사 실장님 원장님 모두 친절하고 좋습니다"
317,"순간 놀랬어요 치과 온거 같은데 왠 호텔이지  잘못 온줄 알었어요 명판보고 알었네요 분위기며 인테리어  정말 아득하고 고급스러웠습니다  여기에 하
나부터 열까지 꼼꼼하게 체크 해주시고 감사했어요 아참 저는 스켈링받고  전체적으로 정검 받았습니다 스켈링 하기전에  마취 가글 좋은거라서 그런
지 하나도 아푸지도않고 받았네요 ~~특히 김준엽 원장님 전체적인 점검 할때 하나하나 체크 해주시고 어떤 문제점들 제시와 향후  어떻게 유지..."
318,불편한 부위 말고도 꼼꼼하게 전반적으로 진료해주셔서 너무 좋았습니다 과잉진료 느낌도 전혀 없었습니다 그리고 정말 많이 친절하세요 감사합니다
319,"정말 친절하시고, 설명도 자세히 해주셨어요. 치과 치료 꾸준히 다니려 합니다"
320,사랑니 빼는 비싸지않는 진료인데도 ㅎ 간호사분 코디님 의사쌤 다 굉장히 친절하고요 최신기계로 사진도 꼼꼼히 찍어주셔서 만족스럽습니다~
321,"여름부터 턱통증 힘들었는데  클라리티를  만나 좋아졌습니다 그리고 얼마후 갑작스런 어금니 파손으로 너무 놀라 다시 찾았는데 의사선생님께서 불안
감 없이 상황 설명과 치료하시면서도 겁나지 않게 섬세한 배려와 뛰어난 의술로 크라운 치료 안전하게 받았습니다 앞으로도 저의 치아관리를 맡겨야겠
다는  신뢰가 생겼습니다 대전에 유성에 이렇게 신뢰가는 치과가 있다는게 감사하며 적극 추천합니다 원장님이하 직원선생님들 감사합니다"
322,의사 선생님과 간호사 선생님들이 친절하게 대응해 주셔서 기분좋게 진료를 받았습니다.
323,친절해용
324,처음 가봤는데 친절하게 교정상담도 해주시고 세부적인 상담도 해주셔서 믿고 다닐거 같아요 ㅎㅎ
325,병원도 진짜 깨끗하고 선생님들이 너무너무 친절해서 좋아요!
326,"하나도 안아프게 너무 잘 치료받았어요. 
확실히 프리미엄 병원 느낌이 입구부터 나갈때까지 느껴집니다.  "
327,"급하게 아이 앞니를 발치하게되어 처음으로 이용하게 되어습니다. 예약절차가 편하게되어있어 처음 이용함에도 수월하였고 시설도 깨끗하였습니다. 
겁이 많은 아이라 치료 시작하기도 전에 눈물바다였는데 끝까지 옆에서 아이를 같이 토닥여주고 용기를 주어서 발치 잘 마무리 하였습니다. 원장선생
님도 하나하나 꼼꼼이 설명 잘해주셔서 기분좋은  치과 방문이었습니다. 수고많으셨습니다."
328,병원시설도 크고 깨끗해서 첫인상이 좋았어요. 접수부터 진료까지 처음부터 끝까지 친절했습니다. 임산부인데 구강검진할때 친절하게 설명해주시고  스케일링할때도 조심스럽게 중간에 괜찮은지  체크하시구요~나올때도 원장선생님과 직원분들이  인사를 하세요~이렇게 친절한곳을 오랜만에 만나게 되네요~
329,의료진분들 다들 친절하시고 진료실이 각각 분리돼 있어 깔끔했어요! x-ray뿐만 아니라 사진도 많이 찍어서 알기 쉽게 설명해주셔서 좋았어요 :)
330,친절하시고 시간도 잘 맞춰주셔요
331,너무 친절하세용 ㅠㅠ 담에 또들리겠습니당 
332,"겁먹었는데 아프지않게 원장님이랑 치위생사분이 노력해주셨어요ㅜㅠ 스켈링도 안아팠고(가글마취 짱) 잇몸치료도 하러가야하는데 여기서하면 걱정 
안될것같네요^_^"
333,친절하구 꼼꼼하게 해주세용
334,"의료진 모두 친절하고
꼼꼼한 진료를 해주십니다."
335,ㅠㅠ너무 오래 걸려서 퇴근시간까지 늦어지셨는데 친절하게 끝까지 잘해주셔서 감사해요..😭 너무너무너무 감사합니다🙏🏻
336,"아이 정기검진 다녀왔어요
늘 친절하고 잘해주세요~~!"
337,"너무 친절하고 , 간호사 의사원장님들 쵝오예여^^ 앞으로 이곳만 갈거예요"
338,"아이가 치과 첫 방문이라 걱정했는데, 아이를 잘 다독여주시고 친절하게 응대해주셔서 너무 감사했습니다~~!"
339,다들 너무 친절 하시고 실장님 께서 설명을 자세하게 해주셔서 감사했어요!
340,"가글 마취로 스케일링이 아프지 않았어요. 
아파서 자주받기 무서웠던 스케일링인데 여긴 안아프네요."
341,정말 친절하시고 설명도 꼼꼼하게 잘 해주십니다. 최고에요👍🏻
342,상담원과 선생님들 친절함에 깜짝 놀랬어요! 지체되는 시간도 적었고 순환도 빠른듯해서 만족했습니다 😊
343,언제나 올때마다 밝고 친절한 치과인거 같아요!! 진료도 꼼꼼하게 잘 봐주시고 불편감을최소로 해주시려고 노력하는게 보입니다!! 겁이 많아서 치료 받을때마다 걱정되는데 참 좋네요..
344,"넓고 시설이 매우 깔끔해서 쾌적합니다
원장선생님부터 간호사선생님들까지 모두가 친절하세요 분위기가 좋았고 진료도 잘 봐주셨습니다 
이 동네 치과는 처음이라 후기 보고 찾아갔는데 좋은 이유가 있네요^^"
345,깔끔하고 원장님 포함 모든 직원분들이 친절하십니다
346,"아이 구강검진때문에 집근처로 급하게 갔는데
의사쌤 간호사님 모두 친절하셨어요~^^
첫 치과방문이라 혹여 아이에게 무서운기억으로 남을까봐서 걱정했는데 다녀오더니 또가고싶다네요 감사합니다 "
347,첫 방문에 네이버에 리뷰를 처음 써봅니다. 친절하게 설명해주시고 과잉진료쪽으로 하지도 않으셔서 좋았습니다. 다만 사람이 너무 많아서 시간이 조금 걸리지만 이 외에는 다 좋았습니다.
348,"봉키병원갔다가 같은건물에 치과가 있어서 가봤어요.원래가던 치과가 있었는데 평이 좋아서 방문해보니...오길 잘했단  생각이 들더라구요.평이 왜 좋
은지 딱 알것같았어요 .넓고  시설도 깔끔하고 특히 직원분들이며  담당원장님들도 너무 친절하셔서 저희아이와 저또한 치료 잘 받고 왔어요.  아이가 
무서워할까봐 만화영상도 보여주시고  말도 많이 걸어주시고...또 지나다닐때마다 직원한분한분이 다 인사해 주시더라고요.아무래도 클라리티..."
349,너무친절하고 좋았습니다
350,"아이 구강검진하러 간건데 처음가자마자 인테리어가 예쁘게 잘되어 있어서 기분이 좋아지네요ㅎㅎ 소아진료실도 따로 마련되어 있고,
아이가 좋아하는 공룡영화보면서 진료봤어요ㅎ
선생님도 친절하시고 자세히 설명해주셔서 좋았네요^^"
351,"그동안 한치과에 정착하지 못하고 이것 저곳 다녔는데 여기는 아주 만족합니다. 첫인상은 모두 친절했고, 스켈링도 아프지 않고, 치실 사용법도 잘 알려주셨습니다ㅎ 치료해야할 치아와 아닌 치아도 명확히 알려주셨고 앞으로 쭉 관리 받을 수 있겠다는 느낌을 받았습니다ㅎ "
352,사람 많아서 너무 오래기다리는 거 빼고는 좋습니다
353,"대전에 온 지 두달밖에 안되어서 병원선택이(그중 치과가제일)어려웠어요. 상사가 추천해서 가 본 곳은 마음에 안들고... 결혼도 안했지만  맘카페 들어
가서 추천검색과 후기들 네이버 리뷰 다 살펴보고  도 걱정하면서 예약하고 방문했습니다. 걱정과 달리 원장님이 첨단 장비들!로 꼼꼼하게 살펴보시고 
보여주시면서 설명해주셔서 너무 좋았고 실장님도 위로해주시고 진심으로 상담해주시는 것 같아 좋았습니다. 상황이 안좋은건 예상을 했지만 ..."
354,제가 치과공포증??치과 무서워서 근처도 못가는 사람이에용 근데 여기 치과는 안아프다게 치료해준다는 소문듣고 저희집부터 40분넘게 걸리는 거리를 갔어요! 근데 진짜 쌤들 다 친절하시고 무섭다고 얘기하니 공감해주시면서 최대한 안아프게 해주겠다고 해주시더라고요~ 첨에는 충치치료랑 임플란트만 하러 간거였는데 상담받다가 교정까지 결정하고 왔네요^^ 집에서 멀지만 앞으로 계속 다니게될 치과입니당!
355,친절해요
356,어디에 문제가 있는지 잘 설명해주시고 친절해서 좋았습니다!
357,"처음 방문했던거여서 초진은 시간이 오래 걸리잖아요. 근데 다들 지나가는데도 인사해주시고 하나하나 친절하게 알려주시고 너무 감사하더라구요. 고
민되던것들 때문에 어떻게 하나 조금 망설이고 있으면 다른 방안으로 안내도 해주시고  저는 너무 만족스러웠습니다~ 다음에 진료받으러 가도 좋을 거 
같아요 ^0^"
358,"실력있는 원장님과
깔끔한 병원으로
부모님이 많이 좋아하셨어요!"
359,"주차, 친절, 원장님진료 모두 만족해요!
이제 이 치과로 쭈욱 다닐 예정입니다 ㅎㅎ"
360,"너무 아파서 급하게 가서 사전정보가 없었어요!  생각보다 규모도 크고 깨끗해서 놀랐구요, 원장님 블로그 보면서 괜찮은 곳 예약했구나 싶었습니다. 물론 다들 친절하게 설명해주셔서 이해하기두 쉬웠구요! 앞으로 치료 잘 받구 여기서 꾸준히 검진받으려구용"
361,꼼꼼하게 봐주시고 늦게까지 해서 좋아요~
362,"친절한 상담과 환자를 안심시켜주시는 능력이 뛰어난 믿음이 가는 치과인것같아요
다만 대기시간이 좀 치과겁쟁이에겐 힘들었습니다  치료가 길어질것 같지만 믿고 진료받으려구요!"
363,벌써 두번째 방문입니다. 마취도 안아프게 해주시고 무엇보다 친절하게 접수부터 치료까지 해주십니다👍
364,스케일링 받았는데 굉장히 친절하게 해주셨어요. 접수부터 진료까지 모두 친절하고 프로페셔널 해서 좋았습니다. 
365,야간진료 있어서 직장인들 다니기 좋을거 같고 듣던대로 과잉진료 없습니다. 치아상태도 꼼꼼하고 친절하게  알려주니까 좋아요. 
366,"병원도 크고 시설 엄청 깔끔하고 직원들도 다 친절해요~ 의사선생님도 친절하게 잘 설명해주세요~ 주변 치과 찾다가 왔는데 평점이 높은 이유가 있네
요~"
367,"구강검진시 굉장히 친절하고 상세하게 설명해주세요.
과잉진료라고 느껴지지 않게, 치료가 필요한 부분만 정확히 말씀해주십니다"
368,"원장님과 직원분들 모두 친절하십니다.  ^ ^
상세하게 설명해 주셔서 감사합니다!"
369,선생님들 모두 넘 친절했어요~! 
370,모두 친절하시고 설명도 자세히 잘 해주십니다! 아프지 않게 치료해주십니다~
371,완전 친절하고 깨끗하고 안아프게 잘하심
372,너무 친절하시고 잘 설명해주셔서 좋았어요! 사랑니 뽑을때 또 방문할게요 ㅎㅎㅎ
373,처음갔는데 아주 쉽고 친절하게 설명해주셔서 좋았어요~!
374,첫째가 겁이많아서 간호선생님들이 너무고생하셨어요 감사합니다
375,"5살아이 첫 진료인데 아주 친절하시고 꼼꼼하게 봐주시고 좋아요 내부도 깨끗하고 쾌적하네요 :) 키즈룸도 있고 진료시 뽀로로 틀어주셔서 아이가 울지
않고 편하게 진료했습니다"
376,"전체적으로 밝고 친절하고 검진하는 기계들도 최첨단 같았어요~~ 의사 선생님들도 친절하시고 , 세부적으로 설명해주셔서 좋았습니다^^"
377,친절하고 상담도 정성을 다해 잘 해주세요 
378,스케일링했는데 너무 잘해주시고 설명도 잘해주셔서 편하게 하고 왔어요! 예전에 다른 치과에서 했을땐 피가 너무 많이 나오고 아팠는데 클라리티치과는 마취가글이 있어서 그런지 하나도 안아프게 잘받았습니다. 다들 친절하셔서 기분좋게 스케일링받고 왔어요!!
379,친절합니다감사해요
380,매번 치과 가는게 무서워서 항상 미루고 또 미루다가 이번에 큰 맘 먹고 클라리티치과 첫 방문했습니다. 제가 치아가 많이 안 좋은 편이라 상담요청이 많고 질문도 많이 했었는데 전부 다 자세히 친절하게 얘기해주셔서 너무 좋았습니다. 스케일링도 너무 꼼꼼히 잘 해주시고 마취가글해서 그런지 전혀 아프지 않았어요~ 다음주 잇몸치료도 예약해놨어요~
381,선생님들 모두 친절하시고 하나하나 세심하게 알려주셔서 믿음이 갔어요!! 
382,시설도 깨끗하고 치료도 잘해주겼어요 병원이라는 무거운 분위기가 아니더라구요 직원분들 전부가 너무 착하고 좋으십니당
383,"치료는 잘 받았습니다 안아프고 잘해주셔서 주변에 많이 추천하고 있습니다 다만, 가끔 카운터에 있는 직원이 보험용 서류를 달라고 하면 귀찮다는 태
도를 보였고 진료를 봐주시는 남자치위생사? 그분은 정말 싸갈쓰가 바갈쓰요 실수로 제 머리통을 쳤음에도 사과1도 없고 사진찍는데 찍는다는 소리없
이 갑자기 찍어서 조금 움직였더니 움직이시지 마셔야죠 아씨.... ?!!!! 잘못들었는가 싶어서 멍때렸네요 ㅡㅡ 그딴직원들은 주의를 주던지 징계를..."
384,진료 처음 받아봤는데 스케일링도 안아프게 잘해주시고 상담도 친절하게 잘해주셨어요. 임플란트 계획있는데 임플란트도 여기서 하려구요!
385,시설 깨끗하고 다들 너무 친절하십니다.
386,"안녕하세요 첫 방문 리뷰 남깁니다
일단 직원분들이 정말 친절하셨어요
그리고 김준엽 원장님의 자세한 설명 덕분에 적절한 치료 잘 받고 온 것 같아서 기분이 좋아요 앞으로도 제 치아 건강하게 관리 잘 부탁드립니다^^"
387,"치료할때 이렇게 안아픈곳은 처음이라 너무 좋아요
치과치료는 입벌리고있는게ㅡ제일 힘든데 편하게해주셔서 치료하는동안에도 숨쉬기가 불편하지않았어요!!
치과 여기로 정착하려구요^^"
388,전반적으로 친절하시고 설명 자세히해주시는 편이에요~ 
389,"정말 너무 친절하셨구 스케일링 받았을 때도 엄청 꼼꼼하게 오래 잘해주셨어요 !!! 이렇게 세심하게 스케일링 받은적은 거의 처음이였습니다. 너무 좋았
어요 !!!!  충치 때문에 갔는데 상담도 사진이랑 같이 신기한 의료기기로 설명 잘해주셔서 너무 좋았구요 다음주에 충치 제거 예약도 했습니다 !!! 감사합
니다 ㅎㅎ"
390,선생님 너무 좋으세용ㅎㅎ
391,직원분들이 항상 친절하고 좋으세요. 치료 중간중간 설명도 잘 해주시고 불편함은 없는지 이시림은 괜찮은지 점검하시면서 진료해주셔서 큰 불편없이 치료 잘 받았습니다. 
392,조았어요 스케일링 처음해봤는데 안아팟네요 
393,직원분들이 아주 친절하셔요! 상담 및 치료 중간 중간에 불편하거나 궁금하지 않게 계속해서 말씀해주시는데 덕분에 아주 편안한 치료가 됐습니다!
394,시설도 깔끔하고 직원분들도 친절했습니다 스케일링 잘 받았고 남은 차료도 잘 되었으면 좋겠습니다
395,"예약시간보다 너무 일찍 갔는데도 불편한기색없이 너무 친절하게 잘 해주셨습니다^^ 과잉진료하거나 너무 비싸게 진행하지 않으실까 걱정하면서 갔는
데 그런거 전혀없고 오히려 저렴하고 깔끔하게 진료 받았네요~^^ 치과가면 무서워서 덜덜 떨기도 하는데 갠찮다며 인형도 주셨네요.ㅎㅎ 원장선생님 
간호사분들 치위생사선생님 모두 너무 친절하게 잘 해주셨습니당~ 대전 이사오고 치과를 정하지를 못해서 힘들었는데 여기로 도장찍고 다니렵..."
396,"다른 치과에서 뿌리염증으로 뼈녹았고 발치후 뼈이식과 임플란트 권했는데 다른 치과 가보고 결정해볼 생각에 클라리티병원 방문. 예약후 방문했지만 
예약의미없이 오랜시간 기다린점이 아쉬웠어요 그치만 환자가 많아보였기에.. 별수없죠ㅜ 기다린 끝에 원장님이 오셔서 진료보는데 임플란트는 최후
의 수단으로.. 발치는 돌이킬수없을때 하는거라며 신경치료해서 염증제거하고 치아 살려보자고 권하심. 그리고 신경치료 후 크라운으로 덮어야..."
397,"클라리티 치과에 처음 방문했는데요. 병원이 너무 깔끔해서 좋았어요. 그리고 다른 치과에선 환자가 잘 모르기 때문에 과잉진료를 하기도 한다던데, 클
라리티 치과 김준엽 원장님께서는 꼭 필요한 치료만 추천해주셨어요👍🏻👍🏻 하나하나 꼼꼼히 설명해주셔서 이해하기 편했어요. 마취주사에 안좋은 추억
이 있어서 무서웠는데ㅠㅠ 마취크림을 먼저 도포한 후에 마취주사를 놔주셔서 그런지 하나도 아프지 않았고 편하게 치료 받았어요 너무 편해서 ..."
398,"일단 들어가자마자 너무 깔끔해서 좋았습니다. 스케일링이랑 사랑니 어떻게 났는지 보러갔는데 스케일링도 치위생사분이 정말 깔끔하고 안아프게 해
주셔서 좋았어요! 사랑니ct촬영하고 충치있는거 발견해서 실장님과 상담했습니다. 실장님께서 기가막히게 설명해주셔서 좋았습니다.. 충치치료하러 다
음에 또 올게요...."
399,진짜 오랜만에 치료하러 가는거라 제 눈으로 보기에도 심각하게 안좋은거 알고있었는데 민망하고 무서운마음에 미루다 미루다 가게됬어요 근데 선생님들 원장님들 모두 다 민망하지 않게 대수롭지 않게 생각해주시고 말씀해주셔서 너무 감사했어요 감동받을정도루요ㅜㅜ 앞으로 치료도 열심히 받으러 갈게요 너무 감사해용
