논문번호,논문제목,논문사번,논문저자,논문게재일,논문게재지
"1,114",Ultrathin and Flat Layer Black Phosphorus Fabricated by Reactive Oxygen and Water Rinse,01002,"권혁상,서성원,김태건,이은성,펑티랭,양세나,류순민,김정원",2016-09-27,ACS Nano
"1,115",Ultraviolet light and laser irradiation enhances the antibacterial activity of glucosamine-functionalized gold nanoparticles,00866,"사라바난 고빈다라주,안상정,윤규식",2015-08-25,INT J NANOMED
"1,116",Ultraviolet responses of a heterojunction Si quantum dot solar cell,00692,"이성현,곽계영,홍성웅,김찬홍,김성,김안순,김경중",2017-01-02,NANOTECHNOLOGY
"1,117",Uncertainty Analysis for Characterization of a Commercial Real-time Oscilloscope using a Calibrated Pulse Standard,01007,"조치현,구현지,권재용,이주광",2019-10-31,IEEE Access
"1,118",Uncertainty analysis in EVM measurement using a Monte Carlo simulation,01007,"조치현,이주광,김정환,김대찬",2015-06-01,IEEE T INSTRUM MEAS
"1,119",Uncertainty analysis of stack gas flow measurements with an S-Type Pitot tube for estimating greenhouse gas emission using a continuous emission monitoring system,00961,"강웅,응엔도안창,이상일,이생희,최용문",2020-11-05,METROLOGIA
"1,120","Uncertainty evaluation for density measurements of molten Ni, Zr, Nb and Hf by using a containerless method",00926,"유한별,박철민,전상호,이수형,이근우",2015-09-08,METROLOGIA
"1,121",Uncertainty evaluation of thickness and warp of a silicon wafer measured by a spectrally resolved interferometer,00768,"A.P. Drija,T. G. Gebr,이재용,강주식",2018-05-09,MEASUREMENT SCIENCE AND TECHNOLOGY
"1,122",Uncertainty Minimization in Quantitative Electron Spin Resonance Measurement: Considerations on Sampling Geometry and Signal,01071,"심정현,박상언,김기웅,정근홍,송남웅",2020-06-20,Journal of the Korean Magnetic Resonance Society
"1,123",Unequal effect of thermodynamics and kinetics on glass forming ability of Cu-Zr alloys,00926,"슈라다,이윤희,이수형,조용찬,이근우",2020-03-01,AIP ADVANCES
"1,124",Unified 2D and 3D cell-based high-throughput screening platformusing a micropillar/microwell chip,01050,"이동우,도일,남도현",2016-06-02,SENSORS AND ACTUATORS B-CHEMICAL
"1,125",Universal evaluation of combined standard uncertainty for rotating-element spectroscopic ellipsometers,00820,"조용재,제갈원,이정표,조현모",2016-11-15,OPTICS EXPRESS
"1,126",Universal evaluations and expressions of measuring uncertainty for rotating-element spectroscopic ellipsometers,00820,"조용재,제갈원,이정표,조현모",2015-06-12,OPTICS EXPRESS
"1,127",UNSM 처리한 베어링 강재의 VHCF 피로 및 파단특성,00563,"남승훈,서민수,서창민,편영식",2018-06-05,대한기계학회논문집 A
"1,128",Unveiling Defect-Related Raman Mode of Monolayer WS2 via Tip-Enhanced Resonance Raman Scattering,00883,"이찬우,정병근,윤석준,이영희,이승미,정문석",2018-10-23,ACS Nano
"1,129",Unzipped nanotube sheet films converted from spun multi-walled carbon nanotubes by O2 plasma,00563,"장훈식,전상구,심대섭,이남희,남승훈",2015-11-01,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY
"1,130",Upper frequency limit depending on potential shape in a QD-based single electron pump,00825,"안예환,홍창기,기영석,정윤철,홍영표,배명호,김남",2017-11-21,JOURNAL OF APPLIED PHYSICS
"1,131",Using a natural ratio to compare DC and AC resistances,00504,"유광민,Dean G. Jarrett,Andrew D. Koffman,Albert F. Rigosi,Shamith U. Payagala,류권상,강전홍,이상화",2020-08-01,IEEE Transactions on Instrumentation and Measurement
"1,132",Validation of primary formaldehyde gas standards prepared by dynamic thermogravimetry through a Tri-National comparison of gaseous formaldehyde amount fraction,00691,"Namita Panda,Mieon Kim,Nobuyuki Aoki,Zeyi Zhou,Takuya Shimosaka,김용두,이상일,김달호",2016-06-20,ACCREDIT QUAL ASSUR
"1,133",Validation of spectroscopic gas analyzer accuracy using gravimetric standard gas mixtures: Impact of background gas composition on CO2quantitation by cavity ring-down spectroscopy,01008,"임정식,이진복,박미연,이정순",2017-12-01,ATMOSPHERIC MEASUREMENT TECHNIQUES
"1,134",Validity Analysis of Holmium-Doped Fiber as Saturable Absorber for Passively Q-Switched Thulium-Doped Fiber Laser,00990,"진진화,김승관,임선도",2018-06-01,JOURNAL OF LIGHTWAVE TECHNOLOGY
"1,135",Van der Waals Heteroepitaxy of Te Crystallites/2H-MoTe2 Atomically Thin Films on GaAs Substrates by Using Metal-Organic Chemical-Vapor Deposition,01076,"Tae Wan Kim,Donghwan Kim,Yonghee Jo,Jonghoo Park,Hyun-seok Kim,신채호",2020-01-01,JOURNAL OF THE KOREAN PHYSICAL SOCIETY
"1,136",Van-der-Waals-gap tunneling spectroscopy for single-wall carbon nanotubes,00983,"최동환,배명호,김주진,장승훈,정두원,이정오,장현주,하동한,이승미,김종우,서영덕",2017-03-01,CARBON
"1,137",V-band waveguide microcalorimeter for millimeter-wave power standards,00876,"권재용,강태원,강노원",2017-06-01,IEEE Transactions on Instrumentation and Measurement
"1,138",Velocity fluctuations of vortices in driven two-dimensional vortex matter,01147,장동진,2018-12-19,Journal of Physics Communications
"1,139",Vertical Organic Thin-Film Transistors with an Anodized Permeable Base for Very Low Leakage Current,01128,"임경근,Felix Dollinger,Yang Li,Erjuan Guo,Peter Formnek,Ren Hbner,Axel Fischer,Hans Kleemann,Karl Leo",2019-05-10,ADVANCED MATERIALS
"1,140",Very high cycle fatigue behaviors and surface crack growth mechanism of hydrogen-embrittled AISI 304 stainless steels,00563,"남승훈,심현보,백운봉,서창민",2018-04-19,Materials Sciences and Applications
"1,141",VHCF properties of A7075-T651 Al alloy depending on shot peening and fatigue testing methods,00563,"서민수,서창희,남승훈,서창민",2015-01-15,ADVANCES IN MECHANICAL ENGINEERING
"1,142",Vibration Alert to the Brain: Evoked and Induced MEG Responses to High-Frequency Vibrotactile Stimuli on the Index Finger of Dominant and Non-dominant Hand,00930,"김민영,권혁찬,양태헌,김기웅",2020-11-05,FRONTIERS IN HUMAN NEUROSCIENCE
"1,143",Vibrational Properties of h-BN and h-BN-Graphene Heterostructures Probed by Inelastic Electron Tunneling Spectroscopy,00989,"정수용,김용성,박민규,박재성,정태영,김호종,K.Watanabe,T.Taniguch,하동한,황찬용",2015-11-13,SCIENTIFIC REPORTS
"1,144",Vibration-insensitive measurements of the thickness profile of large glass panels,01028,"박정재,배재석,진종한,김종안,김재완",2015-12-14,OPTICS EXPRESS
"1,145",Vibronic structure and predissociation dynamics of 2-methoxythiophenol (S1): The effect of intramolecular hydrogen bonding on nonadiabatic dynamics,01161,"임진선,유현식,김소연,김정길,박영춘,김상규",2019-12-28,JOURNAL OF CHEMICAL PHYSICS
"1,146",Visualization of unstained homo/heterogeneous DNA nanostructures by low-voltage scanning transmission electron microscopy,01037,"강근원,Jihoon Shin,김영헌,하태환,오가와 타카시",2020-03-17,SCIENTIFIC REPORTS
"1,147","Wafer-Scale Epitaxial 1T′, 1T′2H Mixed, and 2H Phases MoTe 2 Thin Films Grown by MetalOrganic Chemical Vapor Deposition",00903,"김태완,신재철,박종후,강상우,박혜지,정대화,김동환,로쉘 리,신채호,만게쉬,제갈원,정수환",2018-08-09,ADVANCED MATERIALS INTERFACES
"1,148",Wafer-scale production of highly uniform two-dimensional MoS2 by metal-organic chemical vapor deposition,01151,"문지훈,김태완,박혜지,정대화,만게쉬,제갈원,박종후,정수환,강상우",2017-04-07,NANOTECHNOLOGY
"1,149",Wafer-scale production of highly uniform two-dimensional MoS2 by metal-organic chemical vapor deposition,00903,"문지훈,김태완,박혜지,정대화,만게쉬,제갈원,박종후,정수환,강상우",2017-04-07,NANOTECHNOLOGY
"1,150",Water Flow Meter Calibration with a Master Meter Method,00868,"전세종,윤병로,최해만,이용봉",2017-08-01,INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING
"1,151",Wavelength-scanning calibration of detection efficiency of single photon detectors by direct comparison with a photodiode,00841,"이희정,박성종,박희수,홍기석,이동훈,김헌오,차명식,문한섭",2016-04-01,METROLOGIA
"1,152",Whispering-gallery mode quantum resonators in graphene,00989,정수용,2015-10-02,NPG ASIA MATER
"1,153",Whole-Body Voxel-Based Personalized Dosimetry: The Multiple Voxel S-Value Approach for Heterogeneous Media with Nonuniform Activity Distributions,01066,"이민선,김중현,팽진철,강건욱,정재민,이동수,이재성",2018-07-01,JOURNAL OF NUCLEAR MEDICINE
"1,154",Widely Tunable Watt-level Single Frequency Tm-doped Fiber Ring Laser as Pump for Mid-IR Frequency Generation,00990,"임선도,유재근,김승관",2016-06-08,IEEE PHOTONICS J
"1,155",Widely Tunable Watt-level Single Frequency Tm-doped Fiber Ring Laser as Pump for Mid-IR Frequency Generation,00837,"임선도,유재근,김승관",2016-06-08,IEEE PHOTONICS J
"1,156",WWC1 and NF2 Prevent the Development of Intrahepatic Cholangiocarcinoma by Regulating YAP/TAZ Activity through LATS in Mice,01165,"박재오,이다혜,임대식",2020-05-31,Molecules and Cells
"1,157",XPS and electron transport study of the paramagnetic dusting effect on MgO-based magnetic tunnel junctions,01029,"김동석,주성중,정구열,장영재,이긍원,이병찬,강희재,채홍철",2015-09-26,Journal of the Korean Physical Society
"1,158",X-ray Photoelectron Spectroscopy Analysis of the Enhanced Corrosion Resistance of Thermally Oxidized Stainless Steel,00999,정낙관,2018-04-18,SPECTROSCOPY
"1,159",Zeolitic imidazolate framework-67 (ZIF-67) rhombic dodecahedrons as full-spectrum light harvesting photocatalyst for environmental remediation,00906,"H. Park,최지하,T. K. Kim,이경석",2016-12-01,SOLID STATE SCIENCES
"1,160",ZrO2 film prepared by atomic layer deposition using less viscous cocktail CpZr[N(CH3)2]3/C7H8 precursor and ozone,00840,"김진태,안종기,강고루,오남근,함성호,이근수,박인성,윤주영",2017-04-15,Journal of Alloys and Compounds
"1,161",β-CuGaO2as a Strong Candidate Material for Efficient Ferroelectric Photovoltaics,01116,"송승우,김동훈,장현명,여병철,한상수,김창수,James F. S",2017-09-12,CHEMISTRY OF MATERIALS
"1,162",가변초음파 적외선열화상을 이용한 이종접합용접부의 미세균열 검출 연구,00566,"박정학,외부,최만용,권구안",2016-06-01,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,163",간섭계를 이용한 지진 센서 감도의 절대 측정,00985,"이용봉,조완호,정성수,전병수",2020-02-01,한국소음진동공학회논문집 = Transaction of the korea society for noise and vibration engineering
"1,164",개회로 파장 변조 분광법과 에디 공분산 방법으로 논에서 관측된 CH4 플럭스 자료의 보정,00918,"강남구,윤주열,아산 탈룩더,문민규,강민석,심교문,김준",2015-04-01,한국농림기상학회지
"1,165",계절에 따른 실험실 환경변화를 이용한 토크측정기의 온도 및 습도 감도계수 결정,00830,"무루게타,김민석,박연규,이호영",2015-02-02,한국정밀공학회지
"1,166",고속 PCB 임피던스측정 표준 개발과 연구 동향,01048,"홍영표,구현지",2016-05-31,전자파기술
"1,167",고속 RF 신호의 시간영역 측정,01007,"조치현,김동주,이주광",2016-05-31,전자파기술
"1,168",공기압력모델에 기반한 혈류 시뮬레이터의 동적 특성 평가,00868,"전세종,진종한",2016-06-01,한국정밀공학회지
"1,169",공중파열탄용 포탄에 묻혀있는 탐지코일의 직경에 의한 유도전압 뱐화,00616,"류권상,남승훈,정재갑,손대락",2016-04-30,한국자기학회지
"1,170",공진초음파분광법을 이용한 스퍼터링타겟 접합불량 검사 타당성 연구,00924,"지봉규,박재하,조승현",2020-10-31,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,171",광 적외선열화상을 이용한 풍력 블레이드의 결함 크기 정량화 연구,00480,"권구안,최만용,박희상,박정학,허용학,최원재",2015-02-20,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,172",광대역 초음파 변환기를 위한 전기 임피던스 정합 연구,00810,"김건우,김기복,백광세",2017-02-28,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,173",광섬유 브래그 격자 센서가 있는 광섬유 라인에 라만 OTDR을 이용한 분포 온도 및 변형률 측정 가능성에 대한 연구,00793,"권일범,변종현,전민용",2016-12-20,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,174",광섬유 사냑 간섭형 센서에 기반한 링형 탐촉자의 수중 음향 민감도 해석,00793,"이연우,권휴상,권일범",2020-02-12,한국광학회지
"1,175",교정 및 측정능력(CMC)이 한국의 무역에 미치는 영향에 관한 실증분석,00693,"박주근,한성,박종선",2017-06-08,기술혁신연구
"1,176",국가 진공표준기의 현재와 미래,00901,"송한욱,우삼용,김종호",2020-08-03,진공이야기
"1,177",국가표준기본법 상 국가표준체계의 균형있는 발전을 위한 법정책적 개선방안,00921,유희겸,2019-03-31,법과 정책연구
"1,178",국소 압흔변형률에 미치는 표면 잔류응력 영향 분석,00880,"이윤희,박종서,김용일,허용학",2015-02-16,KOREAN JOURNAL OF METALS AND MATERIALS
"1,179",그라운드 앵커 베어링 플레이트의 원주 방향 변형률 분포 연구,00793,"권일범,권용석,서대철,김은호,윤상영",2018-12-27,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,180",금속 및 복합재 CNG 탱크에서의 손상 검출을 위한 음향방출 에너지 기반 위치표정 기술,00509,"김일식,한병희,박춘수,윤동진",2015-10-01,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,181",기본상수를 이용한 SI 기본단위의 재정의,00488,이호성,2019-08-28,한국광학회지
"1,182",기상관측용 투과형 시정계의 국제단위계에 소급하는 교정,00878,"박성종,이동훈,김용규",2015-04-20,한국광학회지
"1,183",내륙 differential ASF 측정을 통한 Loran-C 시각 정확도 향상,00388,"이창복,황상욱,이종구,이영규,이상정,양성훈",2016-02-01,한국항해항만학회지 = Journal of Korean Navigation and Port Research
"1,184",다중 패턴의 회절광학소자 제작을 위한 레이저 직접 노광시스템의 공정 연구,00895,"김영광,이혁교,김영식,이윤우",2019-06-28,반도체 디스플레이 기술학회지
"1,185",대구경 반사경 광학측정용 타워의 진동에 의한 광학측정오차 분석,01092,"강필성,김옥관,안희경,양호순",2017-12-25,한국광학회지
"1,186",대구경 반사경 광학측정용 타워의 진동에 의한 광학측정오차 분석,00848,"강필성,김옥관,안희경,양호순",2017-12-25,한국광학회지
"1,187","대기 중 모노테르펜 (α-피넨, 3-카렌, R-리모넨, 1,8-시네올) 측정을 위한 혼합표준가스개발",01144,"강지환,김미언,김용두,이영우,이상일",2016-06-03,한국대기환경학회지
"1,188","대기 중 모노테르펜 (α-피넨, 3-카렌, R-리모넨, 1,8-시네올) 측정을 위한 혼합표준가스개발",00946,"강지환,김미언,김용두,이영우,이상일",2016-06-03,한국대기환경학회지
"1,189",대전지역 대기 중 PM2.5의 유기탄소와 원소탄소의 계절별 특성 연구,00946,"김효선,정진상,이진홍,이상일",2015-02-28,한국대기환경학회지
"1,190","동위원소희석 질량분석법을 이용한 간장 중의 안식향산, 메틸파라벤, 부틸파라벤의 분석",00862,안성희,2018-12-19,분석과학 (ANALYTICAL SCIENCE & TECHNOLOGY)
"1,191",레이저 직접 노광시스템에서 레이저의 절삭 현상을 이용한 이중선 제작 방법,00895,"김영광,안누호앙,이혁교,김영식",2019-11-26,한국정밀공학회지
"1,192",로봇팔 타입 삼차원좌표측정기를 이용한 광학계의 비축수차 보정,00895,"전호빈,김고은,송인웅,강혁모,이혁교,김영식,양호순,권종훈",2016-09-30,반도체 디스플레이 기술학회지
"1,193",리간드 종류와 후처리 공정에 따른 황화납 콜로이드 양자점 박막의 전자구조 및 원소 조성 분석,00867,"김태건,최혜경,정소희,김정원",2016-12-20,대한화학지(The Journal of the Korean Chemical Society)
"1,194",마이크로파 반사에 의한 포리에틸렌 배관 융착부의 너비와 융착시간 추정,00810,"이정석,김기복,임형택,김태경,조병관",2017-06-30,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,195",멀티스태틱 PCL 개발을 위한 산란신호 모의,01007,"조치현,심홍석,임상훈,박준식,곽현규,이종환",2020-01-31,The Journal of Korean Institute of Electromagnetic Engineering and Science
"1,196",모바일 폰 카메라 패키지의 다이 본딩 에폭시가 Warpage와 광학성능에 미치는 영향 분석,00932,"손석우,김학용,양호순",2016-12-01,반도체 디스플레이 기술학회지
"1,197",밭토양에서 폐쇄형 자동 챔버법으로 측정한 아산화질소 농도에 대한 측정불확도,00918,"주옥정,강남구",2020-09-16,한국환경농학회지
"1,198",베어링강의 어안균열발생 메커니즘과 개재물의 특징,00563,"남승훈,서민수,서창민,편영식",2018-04-24,대한기계학회논문집 A
"1,199",벼논 메탄 플럭스 측정용 폐쇄형 정적 챔버법: 고찰,00918,"주옥정,강남구,임갑준",2020-06-26,한국농림기상학회지
"1,200",벼논에서 폐쇄형 자동 챔버 시스템으로 측정한 메탄 농도에 대한 요인별 측정 불확도 비교,00918,"주옥정,강남구",2020-09-09,한국환경농학회지
"1,201",불확도 기반 밭토양 아산화질소 배출 저감 여부 판정,00918,"주옥정,강남구,임갑준",2019-12-23,한국농림기상학회지
"1,202",비공유 Node를 이용한 대구경 거울의 효율적인 유한요소 모델링,00938,"편재원,양호순,이종웅,문일권",2017-12-25,한국광학회지
"1,203",산화 알루미늄 및 냉각거울 노점계의 온도 의존성에 관한 연구,01049,"김종철,최병일,우상봉,김용규,이상욱",2017-02-09,센서학회지 = Journal of Sensor Science and Technology
"1,204",상수 기본전하 e를 이용한 암페어 재정의 및 실현,00825,"김남,배명호,안예환,김완섭,채동훈,홍창기,정윤철",2018-04-02,한국정밀공학회지
"1,205",샘플링 오실로스코프의 주파수 응답특성 교정,01007,"조치현,이동준,이주광",2018-05-30,The Journal of Korean Institute of Electromagnetic Engineering and Science
"1,206",소재 압출 방식 3D 프린팅 출력물 형상 치수 표준 확립을 위한 기초 연구,01108,"엄성훈,박정재,진종한,손용",2020-04-01,한국정밀공학회지
"1,207",수소취화된 스테인리스강 304의 VHCF(very high cycle fatigue)피로특성과 UNSM처리 효과에 관한 연구,00563,"남승훈,백운봉,서창민,편영식",2018-06-05,대한기계학회논문집 A
"1,208",수소취화된 스테인리스강 316L의 VHCF 피로특성과 UNSM 효과에 관한 연구,00563,"남승훈,백운봉,서창민,편영식",2017-11-15,대한기계학회논문집 A
"1,209",수중음향 영상화를 위한 렌즈 제작 및 특성 평가,00985,"조완호,권휴상,조요한,외부",2016-11-21,한국소음진동공학회논문집 = Transaction of the korea society for noise and vibration engineering
"1,210",시각비교를 위한 eLoran 수신기 지연측정 기술,00388,"이창복,이종구,이영규,황상욱,양성훈",2016-12-31,한국항해항만학회지 = Journal of Korean Navigation and Port Research
"1,211",시간 분해 엑스선 산란 실험,00905,이수형,2016-10-13,방사광 과학과 기술
"1,212",악취측정용 10 umol/mol 황화수소 표준가스 개발,00331,"김용두,배현길,김달호,오상협,이상일,이진홍",2018-04-06,한국가스학회지
"1,213",악취측정용 10 umol/mol 황화수소 표준가스 개발,00946,"김용두,배현길,김달호,오상협,이상일,이진홍",2018-04-06,한국가스학회지
"1,214",암석공구 마모시험을 위한 아르키메데스 나선의 등속도 운동 근사해 조사,01148,"강훈,김대지,송창헌,오주영,조정우",2020-06-30,터널과 지하공간(Tunnel and Underground Space)
"1,215",암석코어시편의 절리면 직접전단시험을 위한 겉보기 면적 계산방법,01148,"강훈,박정욱,박찬,오태민,조정우",2020-12-31,터널과 지하공간(Tunnel and Underground Space)
"1,216",암페어의 재정의와 실현 방법에 대한 소개,00825,"김남,배명호,안예환,김완섭,채동훈,정윤철",2018-03-30,물리학과 첨단기술
"1,217",액체 질소의 흐름 조절을 통한 저온 정밀 온도 제어,00875,"양인석,이지호",2016-01-31,센서학회지 = Journal of Sensor Science and Technology
"1,218",역합성곱 기반 위상배열 초음파 영상의 공간 분해능 향상,00968,박춘수,2018-06-12,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,219",열광학적 분석 프로토콜에 의한 유기탄소와 원소탄소 측정값 비교,00946,"김효선,정진상,외부,이상일",2015-10-15,한국대기환경학회지
"1,220",오링 고분자의 고압 수소가스 영향에 대한 자기공명 연구,00814,"정재갑,이창훈,김인규",2019-01-01,한국통신학회논문지
"1,221",오픈 사이언스 실현을 위한 참조표준의 공유와 협력,00667,채균식,2016-09-30,정보처리학회지
"1,222",용해실리카의 기준경도를 이용한 나노 압입시스템의 실험적 교정,00880,"이윤희,안승민,김주영,박찬평,장희광",2015-03-13,KOREAN JOURNAL OF METALS AND MATERIALS
"1,223",우물형 감마검출기를 이용한 대기 낙진 중 극저준위 137Cs 측정,00892,"권은희,이상한,허동혜,이종만",2019-05-28,한국환경분석학회지-JOURNAL OF THE KOREAN SOCIETY FOR ENVIRONMENTAL ANALYSIS
"1,224",우주환경에서 대형 반사경의 습기 방출에 의한 형상 변화 예측방법,00848,"송인웅,양호순,김학용,김성희,이회윤,김석환",2018-08-31,한국광학회지
"1,225",운용중인 대구경 용수공급 배관에서의 충격위치표정을 위한 실험적 전파속도 추정,00509,"이선호,박춘수,윤동진",2019-05-31,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,226",원주방향 유도초음파 기반 대구경 용수배관 결함 탐지를 위한 관외면 전자기 음향 트랜스듀서 개발,01102,"박민수,마평식,하종문,이중석,승홍민",2020-06-30,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,227",유해대기오염물질 중 14종의 휘발성유기화합물 1차 표준가스개발(1 μmol/mol 수준 ),01144,"강지환,김용두,김미언,이진홍,이상일",2018-04-02,한국대기환경학회지
"1,228",유해대기오염물질 중 14종의 휘발성유기화합물 1차 표준가스개발(1 μmol/mol 수준 ),00946,"강지환,김용두,김미언,이진홍,이상일",2018-04-02,한국대기환경학회지
"1,229",육상 100 m 속도개선을 위한 Elongated Start 출발 구간의 운동학적 비교분석,00534,"이정태,최수남,이용식",2016-08-31,한국체육과학회지
"1,230",육상 단거리 3축 스타팅블록 반발력 측정장치 개발,00534,"이정태,최수남",2015-01-31,한국체육과학회지
"1,231",음향방출 에너지 기반 손상 위치표정 기법을 이용한 복합재 CNG 탱크의 충격 신호 위치표정,00509,"한병희,윤동진,박춘수,이영신",2016-10-13,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,232",이중 보간 기법을 이용한 MLFMA 가속기법,01136,"윤달재,김형주,이재인,양성준,양우용,배준우,명로훈",2019-06-07,한국군사과학기술학회지 = Journal of the Korea institute of military science and technology
"1,233",인장력이 작용하는 강선의 단면 초음파공진 거동 변화 관찰,00924,"지봉규,박재하,조승현",2019-04-01,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,234",자동혈압계 성능평가를 위한 인체혈압 시뮬레이터 개발,01050,"도일,임현균,안봉영,지영준,이종실,오재훈",2017-06-01,의공학회지 = Journal of biomedical engineering research
"1,235",잡음온도 표준을 위한 W-Band 도파관 라디오미터,00685,강태원,2016-05-31,전자파기술
"1,236",장거리 매설 배관에서의 충격 손상 위치 검출에 대한 실험적 검증,00509,"이선호,박춘수,윤동진",2020-08-10,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,237",적외선 광학계용 MTF 측정장치 개발,00848,"손병호,이회윤,송재봉,양호순,이윤우",2015-06-29,한국광학회지
"1,238",적응광학계용 37채널 SiC 변형거울을 이용한 파면 보상,00932,"안교훈,이혁교,이호재,이준호,양호순,김학용",2016-05-10,한국광학회지
"1,239",전자기 음향 트랜스듀서를 이용한 초음파 공진 분광법 기반 알루미늄 박판 미세결함 탐상,00924,"조승완,지봉규,조승현",2019-02-01,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,240",절대 거리 측정을 위한 편광 기반 이중 기준 경로 분광 간섭계의 개발,00952,"김영준,안흘비,박정재,진종한",2020-03-02,한국정밀공학회지
"1,241",정부출연연구기관 유형분석에 따른 보안정책연구,00925,"배성수,한성,한승희",2016-06-01,한국산업보안연구
"1,242",정부출연연구기관 유형분석에 따른 보안정책연구,00977,"배성수,한성,한승희",2016-06-01,한국산업보안연구
"1,243",정전기 부양 기술을 통한 초고온 극한 환경하의 금속 액체 연구,00926,이근우,2015-11-02,물리학과 첨단기술
"1,244",정책흐름모형을 통해서 본 공공기관의 운영에 관한 법률에 따른 공공기관 중 ‘연구개발목적기관’의 지정과 의의,00921,"유희겸,허동혁",2020-08-31,한국기술혁신학회지
"1,245",주파수 응답을 이용한 하이드로폰 수신감도의 비상관 잡음 저감,00985,"정인지,조진석,윤홍우,이학수,조완호",2017-12-20,한국소음진동공학회논문집 = Transaction of the korea society for noise and vibration engineering
"1,246",중공형 암석시편의 Pin-on-disk 마모시험을 위한 등속도 나선경로 계산방법,01148,"강훈,김대지,송창헌,오주영,조정우",2020-08-31,터널과 지하공간(Tunnel and Underground Space)
"1,247",중적외선 광 파라메트릭 발진기를 이용한 중적외선 분광기 성능 평가,00837,"남희진,배인호,김승관,최영준,고재현",2019-08-01,한국광학회지
"1,248",지형 기울기에 의한 항공 수심 라이다 수심 측정 오차 보정,00807,"심기현,우제흔,이재용,김재완",2017-03-09,한국정밀공학회지
"1,249",진공공정에서의 오염입자 실시간 모니터링을 위한 광학식 센서 개발,01151,"문지훈,강상우",2020-07-03,진공이야기
"1,250",진공공정에서의 오염입자 실시간 모니터링을 위한 광학식 센서 개발,00903,"문지훈,강상우",2020-07-03,진공이야기
"1,251",초음파 시뮬레이션을 이용한 거친면의 파동 산란에 대한 통계적 연구,01061,"최원재,김기복,권세곤",2018-06-01,비파괴검사학회지 (Journal of the Korea Society for Nondestructive Testing)
"1,252",카메라 교정 및 측정부 회전을 이용한 가상현실 기기의 전역 왜곡 측정법,00967,"양동근,강필성,김영식",2019-12-25,한국광학회지
"1,253",카세그레인 망원경의 볼록비구면 반사경 파면오차 측정,00848,"김고은,이혁교,양호순",2017-12-25,한국광학회지
"1,254",컴퓨터 제어를 통한 광학 가공에서의 다양한 툴 영향 함수의 모델링,00967,"김기철,김영식,이혁교,김학성,양호순,이윤우",2016-03-01,한국정밀공학회지
"1,255",컴퓨터 제작 홀로그램과 데오도라이트를 이용한 인공위성 카메라 주 반사경의 정점 좌표 측정,00932,"강혜은,송재봉,양호순,김학용",2017-08-31,한국광학회지
"1,256",켈빈의 재정의,00875,양인석,2018-04-01,한국정밀공학회지
"1,257","특집 국제단위계의 기본단위 재정의, 물질의 양에 대한 SI 기본단위 몰과 아보가드로 상수를 이용한 재정의",00906,이경석,2018-04-30,한국정밀공학회지
"1,258",포항가속기 빛을 활용하여 원자들의 초고속 움직임을 측정하는 시간분해 X-선 산란 연구,00905,"이수형,조원혁,엄인태,유청종",2017-01-25,방사광 과학과 기술
"1,259",표준 측정 방법에 기반한 가속도 지진 센서 특성 평가,00985,"이용봉,조완호,정성수,전병수",2019-02-21,한국소음진동공학회논문집 = Transaction of the korea society for noise and vibration engineering
"1,260",플랑크 상수를 이용한 킬로그램 재정의 및 실현,01018,"김동민,김명현,우병칠,이광철",2018-04-01,한국정밀공학회지
"1,261",피봇 점 위치를 고려한 파장 가변 외부 공진기 다이오드 레이저의 개발,00967,"김기철,서용범,김영식,이혁교",2017-07-01,한국정밀공학회지
"1,262",회절광학소자 제작을 위한 레이저 직접 노광기의 공정실험,00895,"김영광,이혁교,김영식,이윤우",2016-10-03,한국정밀공학회지
"1,263",휘발성유기화합물 1차표준가스 (5 nmol mol-1) 흡착손실 평가,00946,"전신배,김용두,강지환,이상일",2020-01-09,한국환경분석학회지-JOURNAL OF THE KOREAN SOCIETY FOR ENVIRONMENTAL ANALYSIS
"1,264",힘측정기의 교정 시 크립 불확도의 직접 및 간접 측정 방법의 비교연구,00798,"마르세스,장진석,박연규",2018-07-01,한국정밀공학회지
